-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2000 through 12/31/2020 
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
TS       MERRA-2 Earth Skin Temperature (C) 
QV2M     MERRA-2 Specific Humidity at 2 Meters (g/kg) 
-END HEADER-
PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
TS,2000,32.25,-114.25,13.1,15.18,17.1,24.03,28.84,33.06,35.28,34.79,31.83,23.27,12.12,11.97,23.4
TS,2000,32.25,-114.75,13.65,15.43,17.61,24.6,29.71,34.03,36.05,35.89,32.38,23.95,12.88,12.49,24.08
TS,2000,32.25,-115.25,13.76,14.91,17.2,24.12,29.7,34.09,36.12,36.16,32.17,23.55,12.85,12.46,23.95
TS,2000,32.25,-115.75,12.72,13.08,15.15,21.54,27.31,31.69,33.84,34.04,29.86,21.14,11.39,11.45,21.96
TS,2000,32.25,-116.25,10.14,9.86,11.33,16.42,21.46,25.76,27.46,28.31,24.35,16.52,8.62,9.6,17.51
TS,2000,32.25,-116.75,12.83,12.73,13.59,17.05,20.02,23.38,24.31,25.99,23.28,18.27,12.52,12.93,18.1
TS,2000,32.25,-117.25,14.48,14.36,14.74,16.67,18.03,20.55,20.94,22.71,21.42,18.92,15.11,14.73,17.73
TS,2000,32.25,-117.75,15.13,15.06,15.21,16.12,16.65,18.67,18.84,20.53,20.18,19.06,16.32,15.44,17.27
TS,2000,32.25,-118.25,15.03,15.15,15.3,15.7,16.03,17.93,18.2,19.77,19.79,18.93,16.48,15.53,16.99
TS,2000,32.25,-118.75,14.62,14.99,15.12,15.24,15.19,17.36,17.91,18.97,19.27,18.46,16.33,15.43,16.58
TS,2000,32.25,-119.25,14.29,14.7,14.67,14.99,14.6,16.66,17.35,18.28,18.83,18.12,16.18,15.33,16.17
TS,2000,32.25,-119.75,14.26,14.55,14.33,14.87,14.5,16.15,17.0,17.78,18.43,17.85,15.96,15.34,15.92
TS,2000,32.25,-120.25,14.28,14.51,14.08,14.84,14.64,15.84,16.81,17.37,18.05,17.64,15.75,15.42,15.77
TS,2000,32.25,-120.75,14.23,14.54,13.96,14.8,14.83,15.71,16.69,17.04,17.74,17.46,15.63,15.56,15.68
TS,2000,32.25,-121.25,14.05,14.54,14.07,14.7,14.91,15.75,16.53,16.87,17.58,17.35,15.62,15.78,15.65
TS,2000,32.25,-121.75,13.89,14.55,14.23,14.84,15.01,15.71,16.42,17.09,17.62,17.31,15.83,15.79,15.69
TS,2000,32.25,-122.25,13.99,14.71,14.29,15.0,15.3,15.72,16.42,17.3,17.69,17.48,15.93,15.59,15.78
TS,2000,32.25,-122.75,14.23,14.84,14.25,15.15,15.59,15.83,16.47,17.45,17.7,17.64,15.95,15.48,15.89
TS,2000,32.25,-123.25,14.48,14.84,14.13,15.24,15.84,16.11,16.55,17.54,17.67,17.72,15.99,15.59,15.98
TS,2000,32.25,-123.75,14.56,14.69,13.97,15.21,16.08,16.56,16.72,17.56,17.74,17.75,16.26,15.82,16.08
